textDisplay,text_clean,text_processed,dominant_topic,sentiment_polarity,sentiment_label,likeCount
"Negara Indnesia akan selalu Gaduh  karena  masyarakat tidak terasa kalau demokrasi Indonesia sekarang sudah menjadi Demokrasi liberal  semanjak Akhir SBY dan Awal Jokowi sampai sekarang bertambah Parah  Negara di kuasai Oligarky melalui Ekonomi dan Hukum sudah tidak berguna lagi karena  Hukum masih bisa di beli , Saya tahu   siapa di balik kerusuhan itu  dan Tujuannya adalah mempercepat gibran menjadi RI 1, dan mohon dalam situasi yang sudah Kondusif ini  kepada Bapak Prabowo agar secepatnya  penggantian Kapolri  Listiyo Sigit  , karena Tugas Kepolisian sudah  bukan mengayomi Masyarakat lagi tapi sudah 90 persen ke Politik , KEMABL:IKAN DEMOKRASI INDONESIA   SEPERTI DAHULU   BUANG DEMOKRASI LIBERAL , TERIMAKASIH MAS FERRY  SEMUA MASYARAKAT AKHIRNYA MENJADI CERDAS",negara indnesia gaduh masyarakat demokrasi indonesia demokrasi liberal semanjak sby jokowi bertambah parah negara kuasai oligarky ekonomi hukum berguna hukum beli kerusuhan tujuannya mempercepat gibran mohon situasi kondusif prabowo secepatnya penggantian kapolri listiyo sigit tugas kepolisian mengayomi masyarakat persen politik kemabl ikan demokrasi indonesia buang demokrasi liberal terimakasih ferry masyarakat cerdas,"negara indnesia akan selalu gaduh karena masyarakat tidak terasa kalau demokrasi indonesia sekarang sudah menjadi demokrasi liberal semanjak akhir sby dan awal jokowi sampai sekarang bertambah parah negara di kuasai oligarky melalui ekonomi dan hukum sudah tidak berguna lagi karena hukum masih bisa di beli , saya tahu siapa di balik kerusuhan itu dan tujuannya adalah mempercepat gibran menjadi ri 1, dan mohon dalam situasi yang sudah kondusif ini kepada bapak prabowo agar secepatnya penggantian kapolri listiyo sigit , karena tugas kepolisian sudah bukan mengayomi masyarakat lagi tapi sudah 90 persen ke politik , kemabl:ikan demokrasi indonesia seperti dahulu buang demokrasi liberal , terimakasih mas ferry semua masyarakat akhirnya menjadi cerdas",2,-1,Negatif,0
"BRICS, Cina di palestina, guyur 200T buat program Prabowo, anti IMF, hilang tuntutan pemakzulan, itu yg sekarang terjadi setelah demo.<br>Koq aneh ya, emang itu yg dituntut rakyat ??!!!!<br>😂😂😂😂",brics cina palestina guyur program prabowo anti imf hilang tuntutan pemakzulan demo aneh emang dituntut rakyat,"brics, cina di palestina, guyur 200t buat program prabowo, anti imf, hilang tuntutan pemakzulan, itu yang sekarang terjadi setelah demo. kok aneh ya, emang itu yang dituntut rakyat ??!!!! 😂😂😂😂",2,-1,Negatif,0
Km jg bertanggung jawab sob. Ingat perlu duduk dan berbicara dengan Tuhan tuk bisa jujur dengan keberan yg hakiki,bertanggung sob duduk berbicara tuhan tuk jujur keberan hakiki,kamu juga bertanggung jawab sob. ingat perlu duduk dan berbicara dengan tuhan tuk bisa jujur dengan keberan yang hakiki,2,1,Positif,0
Semangat terus adek TT ku,semangat adek,semangat terus adek tt ku,5,1,Positif,0
Saya akan laporin bapak ke polisi. Anda sudah menuduh aparat!!!,laporin polisi menuduh aparat,saya akan laporin bapak ke polisi. kamu sudah menuduh aparat!!!,5,-1,Negatif,0
"ndak usah muter muter dan bernarasi, pelakunya udah ketemu initial RC",muter muter bernarasi pelakunya ketemu initial,"tidak usah muter muter dan bernarasi, pelakunya sudah ketemu initial rc",4,-1,Negatif,0
Teruslah bersuara bang Ferry,teruslah bersuara ferry,teruslah bersuara bang ferry,5,-1,Negatif,0
"Bang ati2 jaga diri ama yg dimalaka project jg kabarin buat lebih ati2 bang<br>.. gw g nakut2in ,g ngancam ,gw justru takut kehilangan orang2 yg punya ide kaya kalian..<br><br>Smoga kalian smua selalu dijaga baik pribadi dan kluarganya.. buat masyarakat ayo kita kawal beliau2 ini agar lbih aman ketika bersuara memperjuangkan negara kita",ati jaga ama dimalaka project kabarin ati nakut ngancam takut kehilangan orang ide kaya smoga smua dijaga pribadi kluarganya masyarakat ayo kawal beliau aman bersuara memperjuangkan negara,"bang ati2 jaga diri ama yang dimalaka project juga kabarin buat lebih ati2 bang .. saya tidak nakut2in ,g ngancam ,gw justru takut kehilangan orang2 yang punya ide kaya kalian.. smoga kalian smua selalu dijaga baik pribadi dan kluarganya.. buat masyarakat ayo kita kawal beliau2 ini agar lebih aman ketika bersuara memperjuangkan negara kita",5,1,Positif,0
"Demo mahasiswa.demi untuk membela Perwakilan masyarakat ....golongan menengah ke BAWAH.. Cari kerja susah ,pajak naik, sembako naik,PHK. DPR tidak ngerti, mana perwakulan rakyat..harusnya tanggap sesuatu utk Mereka..  Smg. Tetap sehat. Mantap. Tq",demo mahasiswa membela perwakilan masyarakat golongan menengah cari kerja susah pajak sembako phk dpr ngerti perwakulan rakyat tanggap smg sehat mantap,"demo mahasiswa.demi untuk membela perwakilan masyarakat ....golongan menengah ke bawah.. cari kerja susah ,pajak naik, sembako naik,phk. dpr tidak ngerti, mana perwakulan rakyat..harusnya tanggap sesuatu untuk mereka.. smg. tetap sehat. mantap. tq",4,-1,Negatif,0
Bang Fery Irwandi yang sangat cerdas harus di dukung,fery irwandi cerdas dukung,bang fery irwandi yang sangat cerdas harus di dukung,5,1,Positif,0
Anak muda sekarang terkesan lebay menurut saya.<br>Semua berujung ke opini pribadi yg dia sadar akan berdampak publik isu.<br>Berbicara atas nama rakyat tapi tidak ada satupun solusi .,anak muda terkesan lebay berujung opini pribadi sadar berdampak publik isu berbicara nama rakyat satupun solusi,anak muda sekarang terkesan lebay menurut saya. semua berujung ke opini pribadi yang dia sadar akan berdampak publik isu. berbicara atas nama rakyat tapi tidak ada satupun solusi .,3,-1,Negatif,0
"Bingung &amp; jd serba salah..demo dgn damai..tuntututan  kita diremehkan..kalau anarkis baru ditanggapin..contoh kalau rumah anggota dpr kmaren djarah,apa mungkin mereka mundur atau dinon aktifkan???",bingung amp serba salah demo damai tuntututan diremehkan anarkis ditanggapin contoh rumah anggota dpr kmaren djarah mundur dinon aktifkan,"bingung &amp; jadi serba salah..demo dengan damai..tuntututan kita diremehkan..kalau anarkis baru ditanggapin..contoh kalau rumah anggota dpr kmaren djarah,apa mungkin mereka mundur atau dinon aktifkan???",4,-1,Negatif,0
Saudara saudaraku sebangsa setanah air<br>Kita rakyat<br><br>Jangan di permainkan oleh oknum oknum di dalam istitusi besar bahkan pensiunan<br>Yg rakus dan sengaja <br>Mencari gara gara dengan kita rakyat.<br>HEBAT SAUDARAKU FERRY<br>ANDA LEBIH MERAH PUTIH<br>dibanding<br>Mereka yg saat ini menyerangmu dan merasa paling merah putih,saudara saudaraku sebangsa setanah air rakyat permainkan oknum oknum istitusi pensiunan rakus sengaja mencari gara gara rakyat hebat saudaraku ferry merah putih dibanding menyerangmu merah putih,saudara saudaraku sebangsa setanah air kita rakyat jangan di permainkan oleh oknum oknum di dalam istitusi besar bahkan pensiunan yang rakus dan sengaja mencari gara gara dengan kita rakyat. hebat saudaraku ferry kamu lebih merah putih dibanding mereka yang saat ini menyerangmu dan merasa paling merah putih,1,-1,Negatif,0
"What are you doing, you&#39;re not L Lawliet 😂",what are you doing you not lawliet,"what are you doing, you&39;re not l lawliet 😂",3,-1,Negatif,0
WHY YOU THINK SHE L ?,why you think she,why you think she l ?,4,-1,Negatif,1
Krenn Bro lanjutkan,krenn lanjutkan,krenn bro lanjutkan,3,-1,Negatif,0
ngomongin pencegahan hal yang buruk dinilai kriminal atau profokator? setiap konten kreator harus punya konsultan hukum kalo gini mah wkwkwk,ngomongin pencegahan buruk dinilai kriminal profokator konten kreator konsultan hukum gini mah wkwkwk,ngomongin pencegahan hal yang buruk dinilai kriminal atau profokator? setiap konten kreator harus punya konsultan hukum kalau gini mah wkwkwk,5,-1,Negatif,0
Terimah kasih penjelasan detailnya,terimah kasih penjelasan detailnya,terimah kasih penjelasan detailnya,5,0,Netral,0
Sehat sehat bg.,sehat sehat,sehat sehat bg.,5,1,Positif,0
Semoga hal yang dibicarakan bisa dibuktikan sehingga tidak memperkeruh masyarakat,semoga dibicarakan dibuktikan memperkeruh masyarakat,semoga hal yang dibicarakan bisa dibuktikan sehingga tidak memperkeruh masyarakat,4,1,Positif,1
TNI tidak di sebut  maling tapi ngerasa maling 😢😢😢😢 apasihhh,tni maling ngerasa maling apasihhh,tni tidak di sebut maling tapi ngerasa maling 😢😢😢😢 apasihhh,5,-1,Negatif,0
"Bicara by data<br>Bicara by sistem<br>Bicata by mindset<br>Bicara by ilmu<br>Maju terus bg fery semoga sehat&quot; terus kami mendukung mu <a href=""http://www.youtube.com/results?search_query=%23indonesiacerdasmaju"">#indonesiacerdasmaju</a> 💪🏻👍🏻",bicara data bicara sistem bicata mindset bicara ilmu maju fery semoga sehat quot mendukung,bicara by data bicara by sistem bicata by mindset bicara by ilmu maju terus bg fery semoga sehat&quot; terus kami mendukung mu indonesiacerdasmaju 💪🏻👍🏻,5,1,Positif,3
"LANJUT KREASIMU BANG, JAMBI HADIR....HIDUP SEKALI MALAH TERJUN DI INDO, MATI MUDAH HIDUP SULIT, CARI MAKAN HARUS JADI BUDAK, BUKAN MENCETAK GENERASI MUDA DG KEBEBASAN FINANCIAL",kreasimu jambi hadir hidup terjun indo mati mudah hidup sulit cari makan budak mencetak generasi muda kebebasan financial,"lanjut kreasimu bang, jambi hadir....hidup sekali malah terjun di indo, mati mudah hidup sulit, cari makan harus jadi budak, bukan mencetak generasi muda dengan kebebasan financial",3,-1,Negatif,1
KASIH PAHAM  ORANG² YANG SUKA  MEMANCING  DI AIR  KERUH  !!!!,kasih paham orang suka memancing air keruh,kasih paham orang² yang suka memancing di air keruh !!!!,1,-1,Negatif,1
bosnya kasihan juga ya mas..🤣,bosnya kasihan,bosnya kasihan juga ya mas..🤣,2,-1,Negatif,1
DARI AWAL GW SIH DAH NGEMAKSUD KESITU😂 dan lebih sadis oknum yang nubruk ojol kemarin udah punya trek rekord kriminal penyiram novel baswedan😂,dah ngemaksud kesitu sadis oknum nubruk ojol kemarin trek rekord kriminal penyiram novel baswedan,dari awal saya sih dah ngemaksud kesitu😂 dan lebih sadis oknum yang nubruk ojol kemarin sudah punya trek rekord kriminal penyiram novel baswedan😂,1,-1,Negatif,1
Siapa yg ajukan darurat militer... Masyarakat sudah tahu...,ajukan darurat militer masyarakat,siapa yang ajukan darurat militer... masyarakat sudah tahu...,2,0,Netral,1
Narasinya bahaya banget,narasinya bahaya,narasinya bahaya sangat,4,-1,Negatif,0
Trus sp yg jdi dalangnya.....yaaa...ga paham aku...kok nuduh darurat militer ...apa nuduh aparat...TNI dn polisi....tetep sya simak bung Ferry 👍👍,trus dalangnya yaaa paham nuduh darurat militer nuduh aparat tni polisi tetep sya simak ferry,trus sp yang jadi dalangnya.....yaaa...ga paham aku...kok nuduh darurat militer ...apa nuduh aparat...tni dan polisi....tetep sya simak bung ferry 👍👍,1,-1,Negatif,0
Subhanallah,subhanallah,subhanallah,4,-1,Negatif,0
Gerombolan tersebut adalah penghianat bangsa,gerombolan penghianat bangsa,gerombolan tersebut adalah penghianat bangsa,2,-1,Negatif,0
"Salah satu nya mereka itu pngn mengurangi manusia di Indonesia,, ya dgn cara bgtu",salah pngn mengurangi manusia indonesia bgtu,"salah satu nya mereka itu pngn mengurangi manusia di indonesia,, ya dengan cara bgtu",4,-1,Negatif,0
"Makanya dkit dkit jgn kemakan provokator,,",dkit dkit kemakan provokator,"makanya dkit dkit jangan kemakan provokator,,",4,-1,Negatif,0
"Pejuang kemerdekaan sdh gugur Ind merdeka, saat mensejahterakan rakyatnya butuh another next heroes agar merdeka dlm pemikiran dan aspirasi. Kebranian &amp; intelegensia Ferry akan tetap tergaung walau dihentikan secara fisik oleh penguasa. Go forth bro",pejuang kemerdekaan gugur ind merdeka mensejahterakan rakyatnya butuh another next heroes merdeka pemikiran aspirasi kebranian amp intelegensia ferry tergaung dihentikan fisik penguasa forth,"pejuang kemerdekaan sudah gugur ind merdeka, saat mensejahterakan rakyatnya butuh another next heroes agar merdeka dalam pemikiran dan aspirasi. kebranian &amp; intelegensia ferry akan tetap tergaung walau dihentikan secara fisik oleh penguasa. go forth bro",2,1,Positif,0
"Halo ferry, kamu ada bukti bahwa mereka adalah perusuh demonya ga ya?<br><br>Soalnya kalo yang saya lihat mereka tuh cuma ya kayak fanatik aja. Tidak ada sangkut pautnya dengan demo. Saya takut kalau omongan ini ternyata tidak berdasar.<br><br>Mungkin bisa dibuat video barunya atau bisa kasih ss an, mungkin di gdrive.<br><br>TKS, semoga sehat selalu.",halo ferry bukti perusuh demonya lihat tuh fanatik sangkut pautnya demo takut omongan berdasar video barunya kasih gdrive tks semoga sehat,"halo ferry, kamu ada bukti bahwa mereka adalah perusuh demonya tidak ya? soalnya kalau yang saya lihat mereka tuh hanya ya seperti fanatik aja. tidak ada sangkut pautnya dengan demo. saya takut kalau omongan ini ternyata tidak berdasar. mungkin bisa dibuat video barunya atau bisa kasih ss an, mungkin di gdrive. tks, semoga sehat selalu.",4,-1,Negatif,0
Gayanya Mas😂<br>GK ngormati orang sampean,gayanya ngormati orang sampean,gayanya mas😂 tidak ngormati orang sampean,5,-1,Negatif,0
"Tolong, orang sepeti ini layak dilindungi oleh LPSK meskipun dia bukan saksi tapi demi keselamatan dirinya dan keluarganya👍",tolong orang sepeti layak dilindungi lpsk saksi keselamatan keluarganya,"tolong, orang sepeti ini layak dilindungi oleh lpsk meskipun dia bukan saksi tapi demi keselamatan dirinya dan keluarganya👍",5,1,Positif,0
"Ambo doakan uda ferri selalu dan selallu dalam lindungan ALLAH SWT, UDA ALAH mewakilkan suaro awak awak urang tertindas... Jan lupo zikir di seriap langkah perjalanan uda, agar uda selalu di jaga oleh para malaikat ALLAH SWT. SALAM dari urang minang di padang untuak uda wassalamu&#39;alaikum 🙏",ambo doakan uda ferri selallu lindungan allah swt uda alah mewakilkan suaro awak awak urang tertindas jan lupo zikir seriap langkah perjalanan uda uda jaga malaikat allah swt salam urang minang padang untuak uda wassalamu alaikum,"ambo doakan uda ferri selalu dan selallu dalam lindungan allah swt, uda alah mewakilkan suaro awak awak urang tertindas... jan lupo zikir di seriap langkah perjalanan uda, agar uda selalu di jaga oleh para malaikat allah swt. salam dari urang minang di padang untuak uda wassalamu&39;alaikum 🙏",1,1,Positif,0
😅😅😅10 TAHUN JOKOWI BERKUASA KAGAK BERSUARA.....APA INI BUZZER&quot;&quot;&quot;&quot;&quot;&quot; PROJO-PDIP.....@@!!!!!!!,jokowi berkuasa kagak bersuara buzzer quot quot quot quot quot quot projo pdip,😅😅😅10 tahun jokowi berkuasa kagak bersuara.....apa ini buzzer&quot;&quot;&quot;&quot;&quot;&quot; projo-pdip.....@@!!!!!!!,1,-1,Negatif,0
