publishedAt,authorDisplayName,textDisplay,likeCount,text_clean,dominant_topic,topic_probability
2025-10-18T13:42:36Z,@fachrilsandi578,"wajib anda ketahui(selaku orang yang GK jelas agamanya apa, apakah kau orang yang kafir kepada Allah Tuhan yang Maha Esa/non-muslim?, atau seorang muslim/beragama Islam?, ayo jawab dengan jujur ), imani, dan amalkan dengan cara masuk agama Islam(membaca 2 kalimat syahadat dengan hati dan lisan) dan mengamalkan agama Islam dengan baik dan benar(agar anda bisa masuk surga-Nya Allah Tuhan yang Maha Esa).<br><br>hanya agama Islam satu-satunya agama yang benar/diterima/diridhoi oleh Allah Tuhan yang Maha Esa, dan hanya agama Islam satu-satunya agama yang bisa membawa penganutnya masuk kedalam surga-Nya Allah Tuhan yang Maha Esa apabila mati dalam keadaan beragama Islam/muslim(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat Ali-Imran ayat 19), karena hanya agama Islam agama di dunia ini yang mengajarkan penyembahan hanya kepada Allah Tuhan yang Maha Esa &quot; Tidak ada Tuhan/sesembahan kecuali hanya Allah Tuhan yang Maha Esa &quot;. Dan agama selain Islam itu tidak akan pernah diterima oleh Allah Tuhan yang Maha Esa dan diakhirat akan menjadi orang yang merugi kalau mati dalam keadaan kafir kepada Allah Tuhan yang Maha Esa/non-muslim, dan diakhirat tempat kembali mereka adalah neraka Jahannam dan kekal/abadi selama-lamanya didalamnya(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat Al-Bayyinah ayat 6, surat Ali-Imran ayat 85) karena agama selain Islam itu pasti mengajarkan penyembahan kepada selain Allah Tuhan yang Maha Esa/menyekutukan Allah/melakukan kesyirikan (syirik besar) /kekafiran. Dan orang yang mati dalam keadaan munafik(orang munafik adalah orang ngaku-ngaku beragama Islam/Pura-pura beragama Islam, tapi sebenarnya hati dia itu kafir kepada Allah Tuhan yang Maha Esa, benci kepada agama Islam, tidak beriman kepada Allah Tuhan yang Maha Esa, bahkan punya rencana buruk atau jahat /makar ke agama Islam dan umat Islam yang dia sembunyikan didalam hati dan pikiran/benaknya, dia pura-pura beragama Islam/muslim diantara untuk kepentingan status sosial, ekonomi, atau untuk memata-matai agama Islam(mencari kesalahan agama Islam, untuk menghancurkan agama Islam dari dalam, padahal faktanya nggak ada 1pun kesalahan didalam agama Islam, jadi itu sangat mustahil dilakukan oleh orang munafik dan kafir itu), dan umat Islam(mencari celah kelemahan umat Islam untuk dihancurkan dari dalam dengan cara mengadu domba umat Islam pada hal yang tidak perlu menjadi permasalahan karena ada solusi/jalan keluar dari kasalahan itu atau dari luar dengan cara memberikan informasi kelemahan umat Islam itu ke temannya yaitu orang kafir lalu dari kelemahan umat Islam itu di seraqng yang umat Islam dari luar dengan cara diperangi seperti kejadian di Palestina oleh tentara kafir Yahudi itu,  nah ornag yang mati dalam keadaan munafik itu tempat kembalinya di akhirat adalah kerak neraka/neraka paling bawah dan kekal/abadi selama-lamanya di dalamnya(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat An-Nisa ayat 145)",0,wajib ketahui orang agamanya orang kafir allah tuhan maha esa non muslim muslim beragama islam ayo jujur imani amalkan masuk agama islam membaca kalimat syahadat hati lisan mengamalkan agama islam masuk surga allah tuhan maha esa agama islam satunya agama diterima diridhoi allah tuhan maha esa agama islam satunya agama membawa penganutnya masuk kedalam surga allah tuhan maha esa mati beragama islam muslim sesuai firman allah tuhan maha esa surat ali imran ayat agama islam agama dunia mengajarkan penyembahan allah tuhan maha esa quot tuhan sesembahan kecuali allah tuhan maha esa quot agama islam diterima allah tuhan maha esa diakhirat orang merugi mati kafir allah tuhan maha esa non muslim diakhirat neraka jahannam kekal abadi didalamnya sesuai firman allah tuhan maha esa surat bayyinah ayat surat ali imran ayat agama islam mengajarkan penyembahan allah tuhan maha esa menyekutukan allah kesyirikan syirik kekafiran orang mati munafik orang munafik orang ngaku ngaku beragama islam pura pura beragama islam hati kafir allah tuhan maha esa benci agama islam beriman allah tuhan maha esa rencana buruk jahat makar agama islam umat islam sembunyikan didalam hati pikiran benaknya pura pura beragama islam muslim kepentingan status sosial ekonomi memata matai agama islam mencari kesalahan agama islam menghancurkan agama islam faktanya nggak kesalahan didalam agama islam mustahil orang munafik kafir umat islam mencari celah kelemahan umat islam dihancurkan mengadu domba umat islam permasalahan solusi jalan kasalahan informasi kelemahan umat islam temannya orang kafir kelemahan umat islam seraqng umat islam diperangi kejadian palestina tentara kafir yahudi ornag mati munafik kembalinya akhirat kerak neraka neraka kekal abadi dalamnya sesuai firman allah tuhan maha esa surat nisa ayat,5,0.5406352
2025-10-06T05:19:57Z,@Fatamorganapartll,Lo buzzerr Agen nya Anis dan si  Raja Minyak Fix no debat 👍,0,buzzerr agen anis raja minyak fix debat,3,0.51380354
2025-10-05T03:57:05Z,@ampulpancing1686,"Bodoh cipkon nya terendus , malah jadi marah ya 🤣🤣😅😅😂😂",0,bodoh cipkon terendus marah,5,0.272327
2025-10-03T17:22:33Z,@IwanSetiawan-c9h,Oh ternyata oke tks pengetahuannya bang Ferry.  Sekarang kita semua melek tentang behind the scence nya semua kerusuhan ini. Sehat selalu bang lanjutkan...!!!,0,oke tks pengetahuannya ferry melek behind the scence kerusuhan sehat lanjutkan,3,0.3110465
2025-10-02T15:53:15Z,@ReyhanAzan,"Bang ferry, kenapa ya ?pas waktu demo..<br>Gak ada satu pun ormas yang ikutan demo.. bukan nya ini jadi peluang besar untuk jadi di garda terdepan.?<br>Atau hanya untuk acara hajatan aja,mereka selalu ada.. ,!",0,ferry pas demo ormas ikutan demo peluang garda terdepan acara hajatan,4,0.45154154
2025-10-01T15:58:31Z,@wijayajatie8466,Pembahasannya bisa di ganti gak bang bahas gimana indonesia itu hanya bahas isu yang gak penting sedangkan negara maju lain udah bahas bagaimana mencari energi terbarukan untuk dptkan pendapatan devisa,0,pembahasannya ganti bahas gimana indonesia bahas isu negara maju bahas mencari energi terbarukan dptkan pendapatan devisa,1,0.46024272
2025-09-29T16:18:31Z,@Quotes-Sepakbola,"Negara Indnesia akan selalu Gaduh  karena  masyarakat tidak terasa kalau demokrasi Indonesia sekarang sudah menjadi Demokrasi liberal  semanjak Akhir SBY dan Awal Jokowi sampai sekarang bertambah Parah  Negara di kuasai Oligarky melalui Ekonomi dan Hukum sudah tidak berguna lagi karena  Hukum masih bisa di beli , Saya tahu   siapa di balik kerusuhan itu  dan Tujuannya adalah mempercepat gibran menjadi RI 1, dan mohon dalam situasi yang sudah Kondusif ini  kepada Bapak Prabowo agar secepatnya  penggantian Kapolri  Listiyo Sigit  , karena Tugas Kepolisian sudah  bukan mengayomi Masyarakat lagi tapi sudah 90 persen ke Politik , KEMABL:IKAN DEMOKRASI INDONESIA   SEPERTI DAHULU   BUANG DEMOKRASI LIBERAL , TERIMAKASIH MAS FERRY  SEMUA MASYARAKAT AKHIRNYA MENJADI CERDAS",0,negara indnesia gaduh masyarakat demokrasi indonesia demokrasi liberal semanjak sby jokowi bertambah parah negara kuasai oligarky ekonomi hukum berguna hukum beli kerusuhan tujuannya mempercepat gibran mohon situasi kondusif prabowo secepatnya penggantian kapolri listiyo sigit tugas kepolisian mengayomi masyarakat persen politik kemabl ikan demokrasi indonesia buang demokrasi liberal terimakasih ferry masyarakat cerdas,2,0.44784886
2025-09-24T07:46:27Z,@faridginanjar2562,"BRICS, Cina di palestina, guyur 200T buat program Prabowo, anti IMF, hilang tuntutan pemakzulan, itu yg sekarang terjadi setelah demo.<br>Koq aneh ya, emang itu yg dituntut rakyat ??!!!!<br>😂😂😂😂",0,brics cina palestina guyur program prabowo anti imf hilang tuntutan pemakzulan demo aneh emang dituntut rakyat,2,0.58969843
2025-09-24T06:54:55Z,@wirorahmat164,Km jg bertanggung jawab sob. Ingat perlu duduk dan berbicara dengan Tuhan tuk bisa jujur dengan keberan yg hakiki,0,bertanggung sob duduk berbicara tuhan tuk jujur keberan hakiki,2,0.26648453
2025-09-22T05:08:10Z,@onetwothreefourindonesian7528,Semangat terus adek TT ku,0,semangat adek,5,0.29971284
2025-09-22T03:25:29Z,@Farkhanfauzan24,Saya akan laporin bapak ke polisi. Anda sudah menuduh aparat!!!,0,laporin polisi menuduh aparat,5,0.24620213
2025-09-20T13:26:26Z,@elzimelody,"ndak usah muter muter dan bernarasi, pelakunya udah ketemu initial RC",0,muter muter bernarasi pelakunya ketemu initial,4,0.501862
2025-09-15T12:33:08Z,@delonixclubbasketball9793,Teruslah bersuara bang Ferry,0,teruslah bersuara ferry,5,0.33330515
2025-09-15T09:50:06Z,@riojulianto1707,"Bang ati2 jaga diri ama yg dimalaka project jg kabarin buat lebih ati2 bang<br>.. gw g nakut2in ,g ngancam ,gw justru takut kehilangan orang2 yg punya ide kaya kalian..<br><br>Smoga kalian smua selalu dijaga baik pribadi dan kluarganya.. buat masyarakat ayo kita kawal beliau2 ini agar lbih aman ketika bersuara memperjuangkan negara kita",0,ati jaga ama dimalaka project kabarin ati nakut ngancam takut kehilangan orang ide kaya smoga smua dijaga pribadi kluarganya masyarakat ayo kawal beliau aman bersuara memperjuangkan negara,5,0.71012545
2025-09-15T03:39:17Z,@BukitBatu-it9xg,"Demo mahasiswa.demi untuk membela Perwakilan masyarakat ....golongan menengah ke BAWAH.. Cari kerja susah ,pajak naik, sembako naik,PHK. DPR tidak ngerti, mana perwakulan rakyat..harusnya tanggap sesuatu utk Mereka..  Smg. Tetap sehat. Mantap. Tq",0,demo mahasiswa membela perwakilan masyarakat golongan menengah cari kerja susah pajak sembako phk dpr ngerti perwakulan rakyat tanggap smg sehat mantap,4,0.6208433
2025-09-14T15:52:40Z,@Oppo-kt3lo,Bang Fery Irwandi yang sangat cerdas harus di dukung,0,fery irwandi cerdas dukung,5,0.46197385
2025-09-14T15:29:40Z,@FakhriMoch-s3f,Anak muda sekarang terkesan lebay menurut saya.<br>Semua berujung ke opini pribadi yg dia sadar akan berdampak publik isu.<br>Berbicara atas nama rakyat tapi tidak ada satupun solusi .,0,anak muda terkesan lebay berujung opini pribadi sadar berdampak publik isu berbicara nama rakyat satupun solusi,3,0.50997066
2025-09-14T09:53:05Z,@ahmadjulian1883,"Bingung &amp; jd serba salah..demo dgn damai..tuntututan  kita diremehkan..kalau anarkis baru ditanggapin..contoh kalau rumah anggota dpr kmaren djarah,apa mungkin mereka mundur atau dinon aktifkan???",0,bingung amp serba salah demo damai tuntututan diremehkan anarkis ditanggapin contoh rumah anggota dpr kmaren djarah mundur dinon aktifkan,4,0.61039394
2025-09-14T07:44:04Z,@aversatimika3012,Saudara saudaraku sebangsa setanah air<br>Kita rakyat<br><br>Jangan di permainkan oleh oknum oknum di dalam istitusi besar bahkan pensiunan<br>Yg rakus dan sengaja <br>Mencari gara gara dengan kita rakyat.<br>HEBAT SAUDARAKU FERRY<br>ANDA LEBIH MERAH PUTIH<br>dibanding<br>Mereka yg saat ini menyerangmu dan merasa paling merah putih,0,saudara saudaraku sebangsa setanah air rakyat permainkan oknum oknum istitusi pensiunan rakus sengaja mencari gara gara rakyat hebat saudaraku ferry merah putih dibanding menyerangmu merah putih,1,0.47688523
2025-09-14T06:14:19Z,@apocalypsekutuura4021,"What are you doing, you&#39;re not L Lawliet 😂",0,what are you doing you not lawliet,3,0.45153323
2025-09-22T04:19:33Z,@Knowledge9s,WHY YOU THINK SHE L ?,1,why you think she,4,0.27413774
2025-09-14T00:44:05Z,@YuzarsifWQ,Krenn Bro lanjutkan,0,krenn lanjutkan,3,0.22195502
2025-09-14T00:14:22Z,@demon_boy3380,ngomongin pencegahan hal yang buruk dinilai kriminal atau profokator? setiap konten kreator harus punya konsultan hukum kalo gini mah wkwkwk,0,ngomongin pencegahan buruk dinilai kriminal profokator konten kreator konsultan hukum gini mah wkwkwk,5,0.45197892
2025-09-13T21:50:53Z,@DgLulung,Terimah kasih penjelasan detailnya,0,terimah kasih penjelasan detailnya,5,0.3635227
2025-09-13T20:58:43Z,@Incubus703,Sehat sehat bg.,0,sehat sehat,5,0.3636959
2025-09-13T14:51:56Z,@CFDHydrocyclone,Semoga hal yang dibicarakan bisa dibuktikan sehingga tidak memperkeruh masyarakat,1,semoga dibicarakan dibuktikan memperkeruh masyarakat,4,0.33536392
2025-09-13T09:53:14Z,@Dddy-p3v,TNI tidak di sebut  maling tapi ngerasa maling 😢😢😢😢 apasihhh,0,tni maling ngerasa maling apasihhh,5,0.38462916
2025-09-13T07:51:11Z,@bk.studio_bgr,"Bicara by data<br>Bicara by sistem<br>Bicata by mindset<br>Bicara by ilmu<br>Maju terus bg fery semoga sehat&quot; terus kami mendukung mu <a href=""http://www.youtube.com/results?search_query=%23indonesiacerdasmaju"">#indonesiacerdasmaju</a> 💪🏻👍🏻",3,bicara data bicara sistem bicata mindset bicara ilmu maju fery semoga sehat quot mendukung,5,0.49987748
2025-09-13T07:46:59Z,@chi4uu,"LANJUT KREASIMU BANG, JAMBI HADIR....HIDUP SEKALI MALAH TERJUN DI INDO, MATI MUDAH HIDUP SULIT, CARI MAKAN HARUS JADI BUDAK, BUKAN MENCETAK GENERASI MUDA DG KEBEBASAN FINANCIAL",1,kreasimu jambi hadir hidup terjun indo mati mudah hidup sulit cari makan budak mencetak generasi muda kebebasan financial,3,0.6350205
2025-09-13T02:04:11Z,@handokoreviyanto3028,KASIH PAHAM  ORANG² YANG SUKA  MEMANCING  DI AIR  KERUH  !!!!,1,kasih paham orang suka memancing air keruh,1,0.42430416
2025-09-12T16:57:01Z,@KomaraJaya-x6u,bosnya kasihan juga ya mas..🤣,1,bosnya kasihan,2,0.29905468
2025-09-12T13:27:42Z,@NdaaaAyah,DARI AWAL GW SIH DAH NGEMAKSUD KESITU😂 dan lebih sadis oknum yang nubruk ojol kemarin udah punya trek rekord kriminal penyiram novel baswedan😂,1,dah ngemaksud kesitu sadis oknum nubruk ojol kemarin trek rekord kriminal penyiram novel baswedan,1,0.3739813
2025-09-12T10:07:05Z,@ImamGhoz-ck9ky,Siapa yg ajukan darurat militer... Masyarakat sudah tahu...,1,ajukan darurat militer masyarakat,2,0.37084854
2025-09-12T10:05:54Z,@YusIcang,Narasinya bahaya banget,0,narasinya bahaya,4,0.27466446
2025-09-12T08:35:30Z,@hestikusumastuti1686,Trus sp yg jdi dalangnya.....yaaa...ga paham aku...kok nuduh darurat militer ...apa nuduh aparat...TNI dn polisi....tetep sya simak bung Ferry 👍👍,0,trus dalangnya yaaa paham nuduh darurat militer nuduh aparat tni polisi tetep sya simak ferry,1,0.42573547
2025-09-12T07:52:24Z,@gathut77,Subhanallah,0,subhanallah,4,0.22445367
2025-09-12T07:11:26Z,@ammar4550,Gerombolan tersebut adalah penghianat bangsa,0,gerombolan penghianat bangsa,2,0.3325163
2025-09-12T05:42:27Z,@dengaming636,"Salah satu nya mereka itu pngn mengurangi manusia di Indonesia,, ya dgn cara bgtu",0,salah pngn mengurangi manusia indonesia bgtu,4,0.38671336
2025-09-12T05:41:40Z,@dengaming636,"Makanya dkit dkit jgn kemakan provokator,,",0,dkit dkit kemakan provokator,4,0.27484033
2025-09-12T05:38:58Z,@budisugiarto9931,"Pejuang kemerdekaan sdh gugur Ind merdeka, saat mensejahterakan rakyatnya butuh another next heroes agar merdeka dlm pemikiran dan aspirasi. Kebranian &amp; intelegensia Ferry akan tetap tergaung walau dihentikan secara fisik oleh penguasa. Go forth bro",0,pejuang kemerdekaan gugur ind merdeka mensejahterakan rakyatnya butuh another next heroes merdeka pemikiran aspirasi kebranian amp intelegensia ferry tergaung dihentikan fisik penguasa forth,2,0.679429
2025-09-12T05:03:13Z,@gsd1232,"Halo ferry, kamu ada bukti bahwa mereka adalah perusuh demonya ga ya?<br><br>Soalnya kalo yang saya lihat mereka tuh cuma ya kayak fanatik aja. Tidak ada sangkut pautnya dengan demo. Saya takut kalau omongan ini ternyata tidak berdasar.<br><br>Mungkin bisa dibuat video barunya atau bisa kasih ss an, mungkin di gdrive.<br><br>TKS, semoga sehat selalu.",0,halo ferry bukti perusuh demonya lihat tuh fanatik sangkut pautnya demo takut omongan berdasar video barunya kasih gdrive tks semoga sehat,4,0.46172944
2025-09-12T04:00:17Z,@SalamanBintang,Gayanya Mas😂<br>GK ngormati orang sampean,0,gayanya ngormati orang sampean,5,0.36349115
2025-09-12T02:06:31Z,@agustyvety3331,"Tolong, orang sepeti ini layak dilindungi oleh LPSK meskipun dia bukan saksi tapi demi keselamatan dirinya dan keluarganya👍",0,tolong orang sepeti layak dilindungi lpsk saksi keselamatan keluarganya,5,0.50082487
2025-09-12T00:57:42Z,@edofreeline8469,"Ambo doakan uda ferri selalu dan selallu dalam lindungan ALLAH SWT, UDA ALAH mewakilkan suaro awak awak urang tertindas... Jan lupo zikir di seriap langkah perjalanan uda, agar uda selalu di jaga oleh para malaikat ALLAH SWT. SALAM dari urang minang di padang untuak uda wassalamu&#39;alaikum 🙏",0,ambo doakan uda ferri selallu lindungan allah swt uda alah mewakilkan suaro awak awak urang tertindas jan lupo zikir seriap langkah perjalanan uda uda jaga malaikat allah swt salam urang minang padang untuak uda wassalamu alaikum,1,0.54897577
2025-09-12T00:50:51Z,@sukinemsukinem477,😅😅😅10 TAHUN JOKOWI BERKUASA KAGAK BERSUARA.....APA INI BUZZER&quot;&quot;&quot;&quot;&quot;&quot; PROJO-PDIP.....@@!!!!!!!,0,jokowi berkuasa kagak bersuara buzzer quot quot quot quot quot quot projo pdip,1,0.52054167
2025-09-12T00:34:48Z,@kuncoropribadi8901,Sedikit untuk memberikan masukkan bahwa untuk diketahui tentang kesimpulan anda akan adanya darurat militer terlalu prematur karena adanya penangkapan intelijen BAIS dan KAVALERI itu terlihat adanya upaya sistematis oleh BRIMOB dimana di foto dan di viralkan penangkapan BAIS TNI dan video KAVALERI TNI dimana ini tak sesuai prosedur dimana ketika ada yang di tangkap seorang intelijen oleh institusi lain yakni BRIMOB maka harusnya di amankan kemudian di laporkan ke atasan atau komandannya apakah benar yang di tangkap anggotanya dan sedang di tugaskan kemudian dilepaskan kemudian apabila tidak ada surat penugasan maka di laporkan ke DENPOM TNI .Dan perlu di ketahui bahwa di setiap adanya demo akan ada intelijen dari berbagi institusi di TNI dan POLRI jadi seharusnya institusi negara harus saling menjaga. Dan perlu di ketahui bahwa seorang intelijen yang baik harus bisa membaur dan bergerak di masyarakat untuk mencari data-data sehingga sering ikut bersama-sama melakukan apa yang masyarakat lakukan. Kemudian tentang temuan anda ini secara ilmiah dan hasil penelitian dari berbagai platform medsos tak salah tapi yang jadi masalah harusnya lebih bijak dalam penyampaian dimana seharusnya anda melihat dari sudut pandang lainnya dimana TNI itu kenyataan di lapangan lebih humanis dalam menghadapi demonstrasi dan kalau bisa temuan anda ini sebaiknya tidak di publish dahulu sebelum anda melakukan klarifikasi atau tabbayyun kalau memang anda masih tetap ingin menyampaikan tanpa tabbayyun atau klarifikasi boleh tapi anda harus hati-hati menyimpulkannya apalagi mengatakan darurat militer dan apa untungnya TNI melakukan darurat militer bro sedangkan syarat-syarat untuk menyatakan darurat militer tidak mudah harus adanya laporan dari kepala daerah dan kepala negara yang menyatakan nggak sanggup untuk menangani demonstrasi kemudian di konsultasikan bersama antar lintas institusi kemudian di konsultasi ke DPR jadi berjenjang. Dan mengenai kritikan anda ini untuk institusi TNI dan Polri sah sah saja dan harus tapi kesimpulan anda itulah yang menyatakan akan adanya darurat militer itu justru menyebabkan adu domba antara TNI dan rakyat sehingga sangat berbahaya bro karena apabila TNI dan rakyat tidak bersatu maka bisa terjadi kegaduhan bahkan huru hara massal. Jadi kesimpulannya anda harus lebih bijak dalam menyampaikan suatu kesimpulan tentang penelitian dan temuan anda ini agar tak bisa menimbulkan hal hal yang tak di inginkan. Jadi teruslah kritis tapi jangan lupa hati-hati dan bijak dalam menyimpulkan apalagi di medsos. Dan tentang akun akun medsos itu bisa di jadikan bukti-bukti tapi yang harusnya hati-hati untuk menyatakan adanya darurat militer walaupun itu bisa saja terjadi tapi harusnya anda untuk lebih bijak untuk menyatakan darurat militer. Dan perlu anda tahu bahwa yang seharusnya yang anda kritisi adalah tentang demokrasi kapitalis yang di anut oleh Indonesia dimana dimanapun negara menganut demokrasi kapitalis akan selalu ada kegaduhan jadi akan lebih baik kembali ke UUD 1945 yang asli dimana pendiri bangsa telah merumuskan  walaupun dengan berbagai kekurangan.,0,masukkan kesimpulan darurat militer prematur penangkapan intelijen bais kavaleri upaya sistematis brimob dimana foto viralkan penangkapan bais tni video kavaleri tni dimana sesuai prosedur dimana tangkap intelijen institusi brimob amankan laporkan atasan komandannya tangkap anggotanya tugaskan dilepaskan surat penugasan laporkan denpom tni ketahui demo intelijen berbagi institusi tni polri institusi negara menjaga ketahui intelijen membaur bergerak masyarakat mencari data data masyarakat lakukan temuan ilmiah hasil penelitian platform medsos salah bijak penyampaian dimana sudut pandang dimana tni kenyataan lapangan humanis menghadapi demonstrasi temuan publish klarifikasi tabbayyun tabbayyun klarifikasi hati hati menyimpulkannya darurat militer untungnya tni darurat militer syarat syarat darurat militer mudah laporan kepala daerah kepala negara nggak sanggup menangani demonstrasi konsultasikan lintas institusi konsultasi dpr berjenjang kritikan institusi tni polri sah sah kesimpulan darurat militer menyebabkan adu domba tni rakyat berbahaya tni rakyat bersatu kegaduhan huru hara massal kesimpulannya bijak kesimpulan penelitian temuan menimbulkan teruslah kritis lupa hati hati bijak menyimpulkan medsos akun akun medsos jadikan bukti bukti hati hati darurat militer bijak darurat militer kritisi demokrasi kapitalis anut indonesia dimana dimanapun negara menganut demokrasi kapitalis kegaduhan uud asli dimana pendiri bangsa merumuskan kekurangan,4,0.4388905
2025-09-11T23:18:27Z,@SabdoPalon.45,Sehat selalu tetap semangat mas Ferry 👍,0,sehat semangat ferry,5,0.41695878
2025-09-11T22:06:11Z,@jsapulete5692,"Rambut yg menghalangi jidat coba di buka bang, mhn maaf agak mengganggu...",0,rambut menghalangi jidat coba buka mhn maaf mengganggu,4,0.30354822
2025-09-11T20:51:09Z,@JonBret-x3k,Tujuannya ga mungkin DOM....tujuannya adalah menjatuhkan prabowo dan menunjuk gibran sebagai gantinya....semua kerusuhan adalah ulah geng solo untuk menguasai pemerintahan.,0,tujuannya dom tujuannya menjatuhkan prabowo gibran gantinya kerusuhan ulah geng solo menguasai pemerintahan,1,0.48974258
2025-09-11T17:40:19Z,@fulltime6324,"Klo saya lebih baik darurat militer,keadaan negara kita genting karna koruptor😂emang darurat militer tni mau bunuh rakyat.klo tujuan nya baik,hrs di dukung.polisi gak sanggup membasmi pejahat bangsa,tni yg hrs harus turun membasmi penjahat negara.",0,darurat militer negara genting koruptor emang darurat militer tni bunuh rakyat tujuan dukung polisi sanggup membasmi pejahat bangsa tni turun membasmi penjahat negara,2,0.65234554
2025-09-11T15:54:48Z,@ronyDishub,"dprnya korup krn kerusakan moral rakyat yg bermental budak, aneh rakyat indonesia ini cocoknya jd rakyat prindavan , mereka yg pilih wakil mereka yg korup2 tp mereka pula yg teriak2 terzalimi,  sesuai moto demokrasi , dari rakyat(kerusakan), oleh rakyat(kerusakan) dan untuk rakyat(kerusakan), so asal kebobrokan ini dari rakyat dan rakyat yg memelihara kebobrokan ini dan rakyatlah yg merasakan sendiri jerihpayaj tangan tangan mereka😂😂😂",0,dprnya korup kerusakan moral rakyat bermental budak aneh rakyat indonesia cocoknya rakyat prindavan pilih wakil korup teriak terzalimi sesuai moto demokrasi rakyat kerusakan rakyat kerusakan rakyat kerusakan kebobrokan rakyat rakyat memelihara kebobrokan rakyatlah merasakan jerihpayaj tangan tangan,2,0.76544935
2025-09-11T15:39:27Z,@danispiliang1181,Termul paham ga sih?,1,termul paham,4,0.27477577
2025-09-11T15:10:53Z,@dwidwi8302,"Pintar bapak ini klu ngomong, tp belum tentu jujur klu dia diberikan amanah",0,pintar ngomong jujur amanah,1,0.2900843
2025-09-11T13:58:47Z,@nekielzapani8354,"Maaf bg, Keadilan sosial bagi seluruh rakyat Indonesia udah lama mati. Masih aja percaya keadilan, kapan sih Indonesia pintar..",0,maaf keadilan sosial rakyat indonesia mati percaya keadilan indonesia pintar,3,0.3805269
2025-09-11T13:16:14Z,@rohmangenji4707,Setiap perkataan manusia pasti dipertanggung jawabkan. Semoga anda bisa menanggung apa yang anda ucapkan mas ferry,0,perkataan manusia dipertanggung jawabkan semoga menanggung ucapkan ferry,4,0.33472544
2025-09-11T13:13:46Z,@Purnomojokk,sosok mau jadi pahlawan tai lo,0,sosok pahlawan tai,5,0.41687253
2025-09-11T16:02:59Z,@AWEMBAWE,Diam aja kau. Argumen lu hanya tentang t4i😅,0,diam argumen,3,0.29212207
2025-09-12T00:53:17Z,@sukinemsukinem477,​@AWEMBAWE😅😅😅10 TAHUN JOKOWI BERKUASA FERI HANYA DIAM......APA INI SKENARIO BUZZER&quot;&quot;&quot;&quot;&quot; PROJO AKAN MELENGSERKAN PRABOWO....,0,jokowi berkuasa feri diam skenario buzzer quot quot quot quot quot projo melengserkan prabowo,1,0.40480393
2025-09-11T13:01:02Z,@lampucoklat,"Koruptor sekelas rizha chalid setya novanto dll itu harusnya di tangkap massa, jangan lepasin anak istri koruptor patut di tangkap massa juga, karena selama ini koruptor dilindungi oleh negara melalui undang-undang yg meringankan hukuman koruptor, karena yg bikin undang-undang itu DPR yg notabene kepanjangan tangan koruptor",0,koruptor sekelas rizha chalid setya novanto dll tangkap massa lepasin anak istri koruptor patut tangkap massa koruptor dilindungi negara undang undang meringankan hukuman koruptor bikin undang undang dpr notabene kepanjangan tangan koruptor,1,0.6135967
2025-09-11T12:52:31Z,@Miminaminah-w9y,❤❤❤rakyat mulai bebas bicara,0,rakyat bebas bicara,2,0.33287483
2025-09-11T12:45:23Z,@trido6670,BAIS TNI ga mau ngaku jika mereka terlibat.,0,bais tni ngaku terlibat,5,0.30690727
