Topik,Jenis Emosi,Contoh Komentar
Topik 2,Fear (Takut),Temuan anda tentang dalang kerusuhan ini seharusnya segera di dalami dan di tindaklanjuti agar tidak menimbulkan keresahan di masyarakat. Dan perlu saya ingatkan tentang temuan anda yakni mengenai dalang kerusuhan ini bukanlah suatu kesimpulan pasti tapi hanya merupakan petunjut awal untuk di tindaklanjuti jadi bagi masyarakat bahwa temuan saudara Ferry Irwandi ini adalah sebuah analisa awal untuk menemukan siapa dalang sesungguhnya jadi jangan langsung mengklaim pasti pihak TNI terlibat dengan mengesampingkan pihak kepolisian yang justru pihak kepolisian dimama Kapolri sekarang Listyo Sigit Prabowo merupakan orangnya Jokowi sehingga perlu juga di investigasi keterlibatan kepolisian sebagai dalang karena disini kepentingan Genk Solo untuk menjadikan Gibran sebagai Presiden.
Topik 2,Fear (Takut),Kesal ya bang karena rencana revolusinya  di gagalkan TNI.
Topik 2,Fear (Takut),"&quot;Nah, sampai dicari TNI, Fer. Kalau kamu ingin belajar ilmu kepada orang Jawa, ingatlah: yang selamat itu bukan yang pintar, melainkan yang berhati-hati.&quot; Tidak terkena santet tp terpapar dogma"
Topik 3,Anger (Marah),Anak abah CS DAN BANTENG  pasti pada emosi 😅 karena rencana GAGAL !!!
Topik 3,Anger (Marah),Tau enggak china pki....tai china bangsat....brengsek....gua tumbalin loe china babi.....
Topik 3,Anger (Marah),"Bang ferry, gimana reaksi mu dengan ruu kuhp yang disahkan?"
Topik 3,Anger (Marah),Anak muda sekarang terkesan lebay menurut saya.<br>Semua berujung ke opini pribadi yg dia sadar akan berdampak publik isu.<br>Berbicara atas nama rakyat tapi tidak ada satupun solusi .
Topik 3,Anger (Marah),Krenn Bro lanjutkan
Topik 3,Happy (Senang),Lo buzzerr Agen nya Anis dan si  Raja Minyak Fix no debat 👍
Topik 3,Happy (Senang),Oh ternyata oke tks pengetahuannya bang Ferry.  Sekarang kita semua melek tentang behind the scence nya semua kerusuhan ini. Sehat selalu bang lanjutkan...!!!
Topik 3,Happy (Senang),"What are you doing, you&#39;re not L Lawliet 😂"
Topik 3,Happy (Senang),"Tetap cerdas jujur dan brani bersikap,lanjutkan"
Topik 3,Happy (Senang),"Terus berjuang untuk keadilan dan kebenaran bang. Kalau pun mati, mati secara terhormat. Sy mendukung."
Topik 3,Sadness (Sedih),"LANJUT KREASIMU BANG, JAMBI HADIR....HIDUP SEKALI MALAH TERJUN DI INDO, MATI MUDAH HIDUP SULIT, CARI MAKAN HARUS JADI BUDAK, BUKAN MENCETAK GENERASI MUDA DG KEBEBASAN FINANCIAL"
Topik 3,Sadness (Sedih),Diam aja kau. Argumen lu hanya tentang t4i😅
Topik 3,Sadness (Sedih),"Gak fokus, kayak L kumisan 😆<br>.<br>.<br>.<br>Punten 🙏"
Topik 3,Sadness (Sedih),"Ttg rekrutmen polri setuju sekali bang😅 minim usia 23 tahun lah maksimal 34 tahun cuma ngerasa aja buruk sih di negeri ini usia emas 30 tahun malah dianggap tua, pdahal katanya usia emas dimana puncak dari pikiran matang dan kondisi fisik puncak , malah tidak berguna."
Topik 3,Sadness (Sedih),Dasar anak abah
Topik 3,Fear (Takut),"mas mau tanya, apakah close the door kemana?"
Topik 3,Fear (Takut),Lu nanya apaan sih benerin dulu susunan kata² lu &quot;apakah close the door kemana?&quot;
Topik 3,Fear (Takut),Bang kok gak ada logo close the doornya ya?apa gue yang kelewat ya..😅
Topik 3,Fear (Takut),Yg pasti dari awal gue ngga pernah percaya sama influencer2 bodo amat plerrr
Topik 3,Fear (Takut),logo close the door mana ?
Topik 3,Love (Cinta/Suka),May God bless and protect you always bro.
Topik 3,Love (Cinta/Suka),"siapa bang dalang nya,kasih tau sayaaaaa"
Topik 3,Love (Cinta/Suka),hidup terus bang jangan dulu menghilang
Topik 3,Love (Cinta/Suka),Aku jadi ingin tau siapa dibalik dalang semua ini!
Topik 3,Love (Cinta/Suka),"Sesusah apapun hidup lu jangan menerima uang yang menjual harga diri lu 🔥. Tanamkan itu pada diri kalian jangan jadi pengkhianat. <a href=""http://www.youtube.com/results?search_query=%23jagakedaultannegeri"">#JagaKedaultanNegeri</a>"
Topik 4,Fear (Takut),Apakah ada kolerasi denganpengalihan isu ijasah?
Topik 4,Fear (Takut),Narasinya bahaya banget
Topik 4,Fear (Takut),"Halo ferry, kamu ada bukti bahwa mereka adalah perusuh demonya ga ya?<br><br>Soalnya kalo yang saya lihat mereka tuh cuma ya kayak fanatik aja. Tidak ada sangkut pautnya dengan demo. Saya takut kalau omongan ini ternyata tidak berdasar.<br><br>Mungkin bisa dibuat video barunya atau bisa kasih ss an, mungkin di gdrive.<br><br>TKS, semoga sehat selalu."
Topik 4,Fear (Takut),"Rambut yg menghalangi jidat coba di buka bang, mhn maaf agak mengganggu..."
Topik 4,Fear (Takut),Citra tni udah mulai goya jadi apa langka yg akan di ambil oleh pak tni slanjut nya apa akn lanjut di hukum ato damai ato?
Topik 4,Happy (Senang),Asalamualaikum warohmatulohi wabarakatuh
Topik 4,Happy (Senang),Semoga hal yang dibicarakan bisa dibuktikan sehingga tidak memperkeruh masyarakat
Topik 4,Happy (Senang),Setiap perkataan manusia pasti dipertanggung jawabkan. Semoga anda bisa menanggung apa yang anda ucapkan mas ferry
Topik 4,Happy (Senang),Terimakasih bung Ferry pencerahannya.
Topik 4,Happy (Senang),"Seandainya di tahun 98 Ni Anak sudah lenyap. Alhamdullilah informasi terutama lewat medsos cepat menyebar. Doa untuk kau, semoga Allah melindungi dan memberi berkah dalam hidup mu"
Topik 4,Anger (Marah),"Bang ferry, kenapa ya ?pas waktu demo..<br>Gak ada satu pun ormas yang ikutan demo.. bukan nya ini jadi peluang besar untuk jadi di garda terdepan.?<br>Atau hanya untuk acara hajatan aja,mereka selalu ada.. ,!"
Topik 4,Anger (Marah),"ndak usah muter muter dan bernarasi, pelakunya udah ketemu initial RC"
Topik 4,Anger (Marah),"Demo mahasiswa.demi untuk membela Perwakilan masyarakat ....golongan menengah ke BAWAH.. Cari kerja susah ,pajak naik, sembako naik,PHK. DPR tidak ngerti, mana perwakulan rakyat..harusnya tanggap sesuatu utk Mereka..  Smg. Tetap sehat. Mantap. Tq"
Topik 4,Anger (Marah),"Bingung &amp; jd serba salah..demo dgn damai..tuntututan  kita diremehkan..kalau anarkis baru ditanggapin..contoh kalau rumah anggota dpr kmaren djarah,apa mungkin mereka mundur atau dinon aktifkan???"
Topik 4,Anger (Marah),WHY YOU THINK SHE L ?
Topik 4,Sadness (Sedih),Subhanallah
Topik 4,Sadness (Sedih),"Salah satu nya mereka itu pngn mengurangi manusia di Indonesia,, ya dgn cara bgtu"
Topik 4,Sadness (Sedih),"Kejadian di Nepal berbeda dengan di Indonesia. <br><br>Dari video HABIB RIZIEQ SHIHAB, dapat dipelajari dan dipahami bahwa yg memberi usulan darurat militer adalah SOSOK TERMUL ​yg menjadi pembisik Prabowo. <br>Dan SOSOK TERMUL tersebut ketika jokowi menjabat SANGAT MEMUSUHI PARA ULAMA . <br>Maka Para Ulama inilah yang nasehati Prabowo untuk tidak ikuti SOSOK TERMUL tersebut. <br><br>Tapi justru di media digoreng narasinya bahwa darurat militer diusulkan oleh TNI."
Topik 4,Sadness (Sedih),Mengapa tidak pernah kritik jokowi dan keluarga nya
Topik 4,Sadness (Sedih),Orang yg berteori belum tentu bisa  mempraktekan apa ide2nya.. byk narasi blm ada bukti perlu di uji dlm masyarakat
Topik 4,Love (Cinta/Suka),"Terimakasih bung Ferry, kami bersama mu, minimal gw bersamamu"
Topik 4,Love (Cinta/Suka),"Gua aja bangga bung sama lu ,apalagi ortu lu"
Topik 4,Love (Cinta/Suka),Saya menpercayaimu terus suarakan hal” yang menyelamatkan negri ini🙏
Topik 4,Love (Cinta/Suka),Membaik Indonesiaku
Topik 4,Love (Cinta/Suka),Setujuuu... mereka memang sedang berusaha untuk membuat makin keos.
Topik 5,Anger (Marah),Harusnya elu susul tuh si atheis  LEE KUAN YEW....BIN POOR-LION
Topik 5,Anger (Marah),"wajib anda ketahui(selaku orang yang GK jelas agamanya apa, apakah kau orang yang kafir kepada Allah Tuhan yang Maha Esa/non-muslim?, atau seorang muslim/beragama Islam?, ayo jawab dengan jujur ), imani, dan amalkan dengan cara masuk agama Islam(membaca 2 kalimat syahadat dengan hati dan lisan) dan mengamalkan agama Islam dengan baik dan benar(agar anda bisa masuk surga-Nya Allah Tuhan yang Maha Esa).<br><br>hanya agama Islam satu-satunya agama yang benar/diterima/diridhoi oleh Allah Tuhan yang Maha Esa, dan hanya agama Islam satu-satunya agama yang bisa membawa penganutnya masuk kedalam surga-Nya Allah Tuhan yang Maha Esa apabila mati dalam keadaan beragama Islam/muslim(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat Ali-Imran ayat 19), karena hanya agama Islam agama di dunia ini yang mengajarkan penyembahan hanya kepada Allah Tuhan yang Maha Esa &quot; Tidak ada Tuhan/sesembahan kecuali hanya Allah Tuhan yang Maha Esa &quot;. Dan agama selain Islam itu tidak akan pernah diterima oleh Allah Tuhan yang Maha Esa dan diakhirat akan menjadi orang yang merugi kalau mati dalam keadaan kafir kepada Allah Tuhan yang Maha Esa/non-muslim, dan diakhirat tempat kembali mereka adalah neraka Jahannam dan kekal/abadi selama-lamanya didalamnya(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat Al-Bayyinah ayat 6, surat Ali-Imran ayat 85) karena agama selain Islam itu pasti mengajarkan penyembahan kepada selain Allah Tuhan yang Maha Esa/menyekutukan Allah/melakukan kesyirikan (syirik besar) /kekafiran. Dan orang yang mati dalam keadaan munafik(orang munafik adalah orang ngaku-ngaku beragama Islam/Pura-pura beragama Islam, tapi sebenarnya hati dia itu kafir kepada Allah Tuhan yang Maha Esa, benci kepada agama Islam, tidak beriman kepada Allah Tuhan yang Maha Esa, bahkan punya rencana buruk atau jahat /makar ke agama Islam dan umat Islam yang dia sembunyikan didalam hati dan pikiran/benaknya, dia pura-pura beragama Islam/muslim diantara untuk kepentingan status sosial, ekonomi, atau untuk memata-matai agama Islam(mencari kesalahan agama Islam, untuk menghancurkan agama Islam dari dalam, padahal faktanya nggak ada 1pun kesalahan didalam agama Islam, jadi itu sangat mustahil dilakukan oleh orang munafik dan kafir itu), dan umat Islam(mencari celah kelemahan umat Islam untuk dihancurkan dari dalam dengan cara mengadu domba umat Islam pada hal yang tidak perlu menjadi permasalahan karena ada solusi/jalan keluar dari kasalahan itu atau dari luar dengan cara memberikan informasi kelemahan umat Islam itu ke temannya yaitu orang kafir lalu dari kelemahan umat Islam itu di seraqng yang umat Islam dari luar dengan cara diperangi seperti kejadian di Palestina oleh tentara kafir Yahudi itu,  nah ornag yang mati dalam keadaan munafik itu tempat kembalinya di akhirat adalah kerak neraka/neraka paling bawah dan kekal/abadi selama-lamanya di dalamnya(ini sesuai dengan Firman Allah Tuhan yang Maha Esa surat An-Nisa ayat 145)"
Topik 5,Anger (Marah),"Bodoh cipkon nya terendus , malah jadi marah ya 🤣🤣😅😅😂😂"
Topik 5,Anger (Marah),Saya akan laporin bapak ke polisi. Anda sudah menuduh aparat!!!
Topik 5,Anger (Marah),Teruslah bersuara bang Ferry
Topik 5,Happy (Senang),Semangat terus adek TT ku
Topik 5,Happy (Senang),Bang Fery Irwandi yang sangat cerdas harus di dukung
Topik 5,Happy (Senang),Terimah kasih penjelasan detailnya
Topik 5,Happy (Senang),Sehat sehat bg.
Topik 5,Happy (Senang),"Bicara by data<br>Bicara by sistem<br>Bicata by mindset<br>Bicara by ilmu<br>Maju terus bg fery semoga sehat&quot; terus kami mendukung mu <a href=""http://www.youtube.com/results?search_query=%23indonesiacerdasmaju"">#indonesiacerdasmaju</a> 💪🏻👍🏻"
Topik 5,Fear (Takut),"Bang ati2 jaga diri ama yg dimalaka project jg kabarin buat lebih ati2 bang<br>.. gw g nakut2in ,g ngancam ,gw justru takut kehilangan orang2 yg punya ide kaya kalian..<br><br>Smoga kalian smua selalu dijaga baik pribadi dan kluarganya.. buat masyarakat ayo kita kawal beliau2 ini agar lbih aman ketika bersuara memperjuangkan negara kita"
Topik 5,Fear (Takut),Wajah kalem tapi jiwanya berapi2 melihat sebuah konspirasi jahat di negara ini yang didalangi dengan cara planga plongo😅
Topik 5,Fear (Takut),Begitu banyak cara mereka2 untuk menakut-nakuti mas Ferry. Agar ADA RASA KETAKUTAN  yang bisa dengan mudah membuat mas Ferry Irwandi menyerah...
Topik 5,Fear (Takut),"Maju terus bang.. jangan takut , saya menyakini kalau dalang demo adalah si loreng itu."
Topik 5,Fear (Takut),Hati hati bang Ferry anda pasti di trget....tolong semua jaga dan lindungi bang ferry
Topik 5,Sadness (Sedih),"Tolong, orang sepeti ini layak dilindungi oleh LPSK meskipun dia bukan saksi tapi demi keselamatan dirinya dan keluarganya👍"
Topik 5,Sadness (Sedih),real rekarnasi tan malaka
Topik 5,Sadness (Sedih),"GAK PANDAI NYA FERRY MENDUKUNG  DWI FUNGSI YG DI JLNKAN JKW SELAMA  10 TH<br><a href=""https://www.youtube.com/shorts/aN0GlikqeJ0"">https://youtube.com/shorts/aN0GlikqeJ0?si=icXiN7xW-YfGyGGZ</a>"
Topik 5,Sadness (Sedih),Ahli strategi
Topik 5,Sadness (Sedih),Nye nye nye Buzzer pemerintah😝😝😝
Topik 5,Love (Cinta/Suka),Semoga Allah selalu melindungi mu bung
Topik 5,Love (Cinta/Suka),"Saatnya membuka mata hati dengan berkesadaran agar mampu mencerna, memahami, dan tidak mudah terpengaruh oleh berita2 murahan dari penguasa yang zalim."
Topik 5,Love (Cinta/Suka),Rakyat Indonesia mendukung mu.
Topik 5,Love (Cinta/Suka),Jaga kesehatan mu bang...kita butuh orang sepertimu
Topik 5,Love (Cinta/Suka),"Muak banget gue sama trend ibu ibu pink, yang kaya begitu dijadiin simbol di instagram😭"
